timestamp,symbol,price
2025-08-01 01:30:29,BTCUSDT,115182.67
2025-08-01 01:30:39,BTCUSDT,115060.95
2025-08-01 01:30:50,BTCUSDT,115057.26
2025-08-01 01:31:00,BTCUSDT,115040.00
2025-08-01 01:31:10,BTCUSDT,115011.46
2025-08-01 01:31:21,BTCUSDT,115045.11
2025-08-01 01:31:31,BTCUSDT,115082.30
2025-08-01 01:31:41,BTCUSDT,115060.85
2025-08-01 01:31:51,BTCUSDT,115101.79
2025-08-01 01:32:02,BTCUSDT,115166.41
2025-08-01 01:32:12,BTCUSDT,115130.03
2025-08-01 01:32:22,BTCUSDT,115157.78
2025-08-01 01:32:32,BTCUSDT,115156.92
2025-08-01 01:32:42,BTCUSDT,115135.79
2025-08-01 01:32:53,BTCUSDT,115107.60
2025-08-01 01:33:03,BTCUSDT,115078.05
2025-08-01 01:33:13,BTCUSDT,115096.28
2025-08-01 01:33:23,BTCUSDT,115101.83
2025-08-01 01:33:34,BTCUSDT,115096.00
2025-08-01 01:33:44,BTCUSDT,115093.08
2025-08-01 01:33:54,BTCUSDT,115117.36
2025-08-01 01:34:04,BTCUSDT,115120.00
2025-08-01 01:34:14,BTCUSDT,115126.00
2025-08-01 01:34:25,BTCUSDT,115135.59
2025-08-01 01:34:35,BTCUSDT,115135.59
2025-08-01 01:34:45,BTCUSDT,115159.54
2025-08-01 01:34:55,BTCUSDT,115181.15
2025-08-01 01:35:06,BTCUSDT,115188.83
2025-08-01 01:35:16,BTCUSDT,115164.56
2025-08-01 01:35:26,BTCUSDT,115153.71
2025-08-01 01:35:36,BTCUSDT,115114.00
2025-08-01 01:35:46,BTCUSDT,115184.14
2025-08-01 01:35:57,BTCUSDT,115227.62
2025-08-01 01:36:07,BTCUSDT,115235.97
2025-08-01 01:36:17,BTCUSDT,115291.08
2025-08-01 01:36:27,BTCUSDT,115296.83
2025-08-01 01:36:38,BTCUSDT,115356.67
2025-08-01 01:36:48,BTCUSDT,115328.38
2025-08-01 01:36:58,BTCUSDT,115360.52
2025-08-01 01:37:08,BTCUSDT,115388.01
2025-08-01 01:37:18,BTCUSDT,115400.00
2025-08-01 01:37:29,BTCUSDT,115399.56
2025-08-01 01:37:39,BTCUSDT,115386.98
2025-08-01 01:37:49,BTCUSDT,115399.55
2025-08-01 01:37:59,BTCUSDT,115337.44
2025-08-01 01:38:10,BTCUSDT,115291.77
2025-08-01 01:38:20,BTCUSDT,115291.80
2025-08-01 01:38:30,BTCUSDT,115227.10
2025-08-01 01:38:40,BTCUSDT,115281.43
2025-08-01 01:38:50,BTCUSDT,115272.00
2025-08-01 01:39:01,BTCUSDT,115318.48
2025-08-01 01:39:11,BTCUSDT,115318.48
TEST_TIMESTAMP,TESTSYM,999.99
2025-08-01 01:39:21,BTCUSDT,115274.37
2025-08-01 01:39:31,BTCUSDT,115264.67
2025-08-01 01:39:42,BTCUSDT,115170.40
2025-08-01 01:39:52,BTCUSDT,115150.55
2025-08-01 01:40:02,BTCUSDT,115200.00
2025-08-01 01:40:12,BTCUSDT,115215.93
2025-08-01 01:40:22,BTCUSDT,115255.66
2025-08-01 01:40:33,BTCUSDT,115245.53
2025-08-01 01:40:43,BTCUSDT,115258.30
2025-08-01 01:40:53,BTCUSDT,115247.75
2025-08-01 01:41:03,BTCUSDT,115207.23
2025-08-01 01:41:14,BTCUSDT,115207.03
2025-08-01 01:41:24,BTCUSDT,115194.31
2025-08-01 01:41:34,BTCUSDT,115190.00
2025-08-01 01:41:44,BTCUSDT,115240.00
2025-08-01 01:41:54,BTCUSDT,115251.90
2025-08-01 01:42:05,BTCUSDT,115276.00
2025-08-01 01:42:15,BTCUSDT,115281.49
2025-08-01 01:42:26,BTCUSDT,115268.81
2025-08-01 01:42:36,BTCUSDT,115281.17
2025-08-01 01:42:46,BTCUSDT,115310.03
2025-08-01 01:42:56,BTCUSDT,115333.71
2025-08-01 01:43:06,BTCUSDT,115314.24
2025-08-01 01:43:17,BTCUSDT,115297.62
2025-08-01 01:43:27,BTCUSDT,115269.63
2025-08-01 01:43:37,BTCUSDT,115245.27
2025-08-01 01:43:47,BTCUSDT,115251.19
2025-08-01 01:43:58,BTCUSDT,115290.40
2025-08-01 01:44:08,BTCUSDT,115333.27
2025-08-01 01:44:18,BTCUSDT,115322.01
2025-08-01 01:44:28,BTCUSDT,115326.47
2025-08-01 01:44:38,BTCUSDT,115326.47
2025-08-01 01:44:49,BTCUSDT,115309.05
2025-08-01 01:44:59,BTCUSDT,115296.45
2025-08-01 01:45:09,BTCUSDT,115309.07
2025-08-01 01:45:20,BTCUSDT,115280.43
2025-08-01 01:45:30,BTCUSDT,115280.43
2025-08-01 01:45:40,BTCUSDT,115288.29
2025-08-01 01:45:50,BTCUSDT,115316.07
2025-08-01 01:46:01,BTCUSDT,115309.77
2025-08-01 01:46:11,BTCUSDT,115284.86
2025-08-01 01:46:21,BTCUSDT,115277.00
